date,address,subArea,area,room,sqm,floor,objectType,constructionYear,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
202016-06-23,Knektvägen 3,Gubbangen,GronHagsatra,2,53,3,Lägenhet,1947,2395000,255000,2650000,3056,SkandiaMäklarna,189.64960987521937,Gubbangen
202016-06-18,Getfotsvägen 59,Gubbangen,GronHagsatra,4,100,3,Lägenhet,2004,3975000,425000,4400000,6274,ERA,376.83853037330476,Gubbangen
202016-06-16,Bordsvägen 15,Gubbangen,GronHagsatra,2,51,2,Lägenhet,1946,2195000,75000,2270000,2701,Bjurfors,201.4196042658475,Gubbangen
202016-06-14,Kryddgränd 4,Gubbangen,GronHagsatra,4,90,2,Lägenhet,1986,2875000,325000,3200000,5412,Fastighetsmäklarna,542.6042547000668,Gubbangen
202016-06-14,Majrovägen 41,Gubbangen,GronHagsatra,2,34,null,Lägenhet,null,1975000,275000,2250000,2634,ERA,463.5680255366515,Gubbangen
202016-06-14,Majrovägen 25,Gubbangen,GronHagsatra,5,93,null,Lägenhet,1996,4400000,0,4400000,6390,SkandiaMäklarna,329.5531681013019,Gubbangen
202016-06-03,Knektvägen 17,Gubbangen,GronHagsatra,2,54,5,Lägenhet,1948,2395000,260000,2655000,3198,Fastighetsbyrån,83.43158728673211,Gubbangen
202016-06-03,Kryddgränd 4,Gubbangen,GronHagsatra,3,78,null,Lägenhet,1985,2695000,-165000,2530000,4782,SkandiaMäklarna,542.6042547000668,Gubbangen
202016-06-01,Rubanksgränd 3,Gubbangen,GronHagsatra,3,73,3,Lägenhet,2007,2995000,405000,3400000,5407,HusmanHagberg,496.1128533451014,Gubbangen
202016-06-01,Getfotsvägen 5,Gubbangen,GronHagsatra,2,52,2,Lägenhet,1952,1975000,415000,2390000,3247,Hemmäklarna,312.6510900749745,Gubbangen
202016-05-29,Skrinvägen 6,Gubbangen,GronHagsatra,2,60,2,Lägenhet,1946,2595000,5000,2600000,2983,SkandiaMäklarna,329.35171088868475,Gubbangen
202016-05-28,Herrhagsvägen 129,Gubbangen,GronHagsatra,4,52,null,Villa,1939,4450000,700000,5150000,null,ERA,257.8868730713215,Gubbangen
202016-05-27,Getfotsvägen 46,Gubbangen,GronHagsatra,3,72,2,Lägenhet,1949,2795000,430000,3225000,3800,HusmanHagberg,429.4293726537278,Gubbangen
202016-05-27,Bordsvägen 33A,Gubbangen,GronHagsatra,2,54,2,Lägenhet,1947,2195000,155000,2350000,3660,ERA,215.36130334727267,Gubbangen
202016-05-27,Majrovägen 5,Gubbangen,GronHagsatra,4.5,93,2,Lägenhet,2009,3900000,450000,4350000,5869,Svensk Fastighetsförmedling,243.04967023197162,Gubbangen
202016-05-26,Kistvägen 18,Gubbangen,GronHagsatra,2,57,3,Lägenhet,1948,1995000,455000,2450000,3716,Mäklarringen,143.32779054670058,Gubbangen
202016-05-23,Majrovägen 41,Gubbangen,GronHagsatra,4,95.5,4,Lägenhet,1996,3975000,725000,4700000,6144,ERA,463.5680255366515,Gubbangen
202016-05-18,Getfotsvägen 11,Gubbangen,GronHagsatra,4,93.5,1,Lägenhet,2009,4250000,450000,4700000,5028,Svensk Fastighetsförmedling,375.6074051286519,Gubbangen
202016-05-02,Karmstolsvägen 11,Gubbangen,GronHagsatra,2,64,3,Lägenhet,1947,2500000,0,2500000,4167,Länsförsäkringar Fastighetsförmedling,144.8995738899371,Gubbangen
202016-05-02,Majrovägen 17,Gubbangen,GronHagsatra,4,99,null,Lägenhet,1999,3950000,1050000,5000000,6600,ERA,251.69635920391343,Gubbangen
202016-04-26,Majrovägen 14,Gubbangen,GronHagsatra,2,53,5,Lägenhet,1947,2295000,575000,2870000,3056,Notar,232.6277623226066,Gubbangen
202016-04-21,Bordsvägen 19,Gubbangen,GronHagsatra,2,51,2,Lägenhet,1946,2195000,315000,2510000,2701,Bjurfors,201.4196042658475,Gubbangen
202016-04-21,Gubbängsvägen 48,Gubbangen,GronHagsatra,5,110,null,Villa,1948,5295000,1315000,6610000,null,Fastighetsbyrån,554.3787372740567,Gubbangen
202016-04-20,Dörrvägen 10,Gubbangen,GronHagsatra,3,64,1,Lägenhet,1947,2850000,760000,3610000,3489,Svensk Fastighetsförmedling,268.99460185102566,Gubbangen
202016-04-18,Getfotsvägen 48,Gubbangen,GronHagsatra,3,72,1,Lägenhet,1949,2995000,480000,3475000,3800,HusmanHagberg,426.6950931510933,Gubbangen
202016-04-18,Cirkelvägen 6,Gubbangen,GronHagsatra,2,52,2,Lägenhet,1947,2250000,200000,2450000,3392,ERA,327.86619155014694,Gubbangen
202016-04-16,Bordsvägen 39,Gubbangen,GronHagsatra,2,53,3,Lägenhet,1946,2290000,360000,2650000,3056,ERA,186.82933316352864,Gubbangen
202016-04-16,Kryddgränd 6,Gubbangen,GronHagsatra,2,71,4,Lägenhet,1985,1595000,-35000,1560000,5622,Svensk Fastighetsförmedling,474.48525722183007,Gubbangen
202016-04-15,Sicklingsvägen 7,Gubbangen,GronHagsatra,3,68,1,Lägenhet,1946,2950000,515000,3465000,3737,ERA,169.90485370312868,Gubbangen
202016-04-10,Bordsvägen 23,Gubbangen,GronHagsatra,2,51,2,Lägenhet,1946,2295000,255000,2550000,2701,Mäklarringen,307.41770573879455,Gubbangen
202016-04-08,Getfotsvägen 46,Gubbangen,GronHagsatra,3,72,2,Lägenhet,1951,2795000,645000,3440000,3800,SkandiaMäklarna,429.4293726537278,Gubbangen
202016-04-06,Sicklingsvägen 10,Gubbangen,GronHagsatra,2,53,2,Lägenhet,1947,2195000,730000,2925000,3056,Notar,156.15754816851322,Gubbangen
202016-03-27,Högsätesvägen 13,Gubbangen,GronHagsatra,5,68,null,Radhus,1947,4450000,950000,5400000,null,ERA,796.2033084454041,Gubbangen
202016-03-26,Karmstolsvägen 10,Gubbangen,GronHagsatra,3.5,74,2,Lägenhet,1947,2695000,-95000,2600000,5121,Fastighetsbyrån,125.80223814839151,Gubbangen
202016-03-24,Majrovägen 19,Gubbangen,GronHagsatra,3,58,1,Lägenhet,1997,2490000,630000,3120000,4650,ERA,296.2299541570934,Gubbangen
202016-03-24,Getfotsvägen 40,Gubbangen,GronHagsatra,3,68,1,Lägenhet,1949,2495000,355000,2850000,3588,HusmanHagberg,441.8898322123783,Gubbangen
202016-03-24,Sicklingsvägen 18,Gubbangen,GronHagsatra,3,68,1,Lägenhet,1948,2950000,50000,3000000,3737,Svensk Fastighetsförmedling,233.52441150482542,Gubbangen
202016-03-24,Sicklingsvägen 8,Gubbangen,GronHagsatra,2,53,2,Lägenhet,null,2250000,400000,2650000,3056,Svensk Fastighetsförmedling,147.08562691079314,Gubbangen
202016-03-22,Majrovägen 1,Gubbangen,GronHagsatra,3,70,0,Lägenhet,2010,3200000,0,3200000,4749,Fastighetsbyrån,233.881443341955,Gubbangen
202016-03-19,Majrovägen 29,Gubbangen,GronHagsatra,4,93,1,Lägenhet,1997,3650000,760000,4410000,6354,ERA,339.057489871036,Gubbangen
202016-03-17,Knektvägen 3,Gubbangen,GronHagsatra,2,53,2,Lägenhet,1947,2195000,245000,2440000,3056,ERA,189.64960987521937,Gubbangen
202016-03-14,Sicklingsvägen 14,Gubbangen,GronHagsatra,3,68,3,Lägenhet,1946,2950000,660000,3610000,3812,ERA,202.26706237763509,Gubbangen
202016-03-12,Getfotsvägen 59,Gubbangen,GronHagsatra,2,52,4,Lägenhet,2004,2295000,555000,2850000,3942,Svensk Fastighetsförmedling,376.83853037330476,Gubbangen
202016-03-12,Majrovägen 31,Gubbangen,GronHagsatra,4,93,1,Lägenhet,1996,3675000,1175000,4850000,5692,ERA,390.59183898477727,Gubbangen
202016-03-10,Getfotsvägen 44,Gubbangen,GronHagsatra,3,72,3,Lägenhet,1951,2795000,555000,3350000,3800,Fastighetsbyrån,431.4615945324344,Gubbangen
202016-03-10,Getfotsvägen 13,Gubbangen,GronHagsatra,3,76,3,Lägenhet,2009,3495000,455000,3950000,4277,Fastighetsbyrån,386.0426043035413,Gubbangen
202016-03-09,Getfotsvägen 1,Gubbangen,GronHagsatra,2,52,null,Lägenhet,1952,2450000,400000,2850000,3247,Mäklare Sjögren,285.1888728730072,Gubbangen
202016-03-04,Knektvägen 15,Gubbangen,GronHagsatra,2,56,4,Lägenhet,1948,2290000,450000,2740000,3284,ERA,116.49536184005721,Gubbangen
202016-03-03,Bordsvägen 72,Gubbangen,GronHagsatra,3,68,1,Lägenhet,1947,2950000,350000,3300000,3736,ERA,293.54141941922995,Gubbangen
202016-03-01,Kryddgränd 4,Gubbangen,GronHagsatra,2,68,3,Lägenhet,1985,1795000,215000,2010000,5142,HusmanHagberg,542.6042547000668,Gubbangen
202016-02-26,Getfotsvägen 42,Gubbangen,GronHagsatra,3,72,2,Lägenhet,1949,2795000,280000,3075000,3800,HusmanHagberg,436.91003596170793,Gubbangen
202016-02-26,Rubanksgränd 3,Gubbangen,GronHagsatra,2,55,2,Lägenhet,2007,2295000,570000,2865000,4396,Svensk Fastighetsförmedling,496.1128533451014,Gubbangen
202016-02-25,Kryddgränd 4,Gubbangen,GronHagsatra,2,65,null,Lägenhet,1985,1850000,260000,2110000,4984,SkandiaMäklarna,542.6042547000668,Gubbangen
202016-02-24,Majrovägen 1,Gubbangen,GronHagsatra,3,71,4,Lägenhet,2009,2950000,170000,3120000,4798,ERA,233.881443341955,Gubbangen
202016-02-20,Majrovägen 14,Gubbangen,GronHagsatra,2,53,1,Lägenhet,1946,2190000,430000,2620000,2998,ERA,232.6277623226066,Gubbangen
202016-02-17,Majrovägen 35,Gubbangen,GronHagsatra,2,49.5,null,Lägenhet,1996,2225000,265000,2490000,3245,SkandiaMäklarna,404.49938183885763,Gubbangen
202016-02-17,Cirkelvägen 6,Gubbangen,GronHagsatra,3,70,1,Lägenhet,1947,2850000,200000,3050000,4412,Fastighetsbyrån,327.86619155014694,Gubbangen
202016-02-10,Knektvägen 15,Gubbangen,GronHagsatra,1.5,40,5,Lägenhet,1948,1995000,655000,2650000,2498,ERA,116.49536184005721,Gubbangen
202016-02-04,Bordsvägen 33B,Gubbangen,GronHagsatra,2,54,2,Lägenhet,1947,2195000,285000,2480000,3660,ERA,228.92721324541486,Gubbangen
202016-02-03,Sicklingsvägen 3,Gubbangen,GronHagsatra,1,25,6,Lägenhet,1947,1595000,815000,2410000,1634,Länsförsäkringar Fastighetsförmedling,120.18685345402046,Gubbangen
202016-01-28,Bordsvägen 33,Gubbangen,GronHagsatra,2,54,1,Lägenhet,1947,2095000,280000,2375000,3660,Svensk Fastighetsförmedling,201.09790620390268,Gubbangen
202016-01-22,Majrovägen 17,Gubbangen,GronHagsatra,2,51,3,Lägenhet,1999,2195000,255000,2450000,4131,ERA,251.69635920391343,Gubbangen
202016-01-22,Sicklingsvägen 13,Gubbangen,GronHagsatra,3,68,3,Lägenhet,1947,2995000,370000,3365000,3812,Svensk Fastighetsförmedling,216.94200025543546,Gubbangen
202016-01-22,Majrovägen 41,Gubbangen,GronHagsatra,4,80.5,0,Lägenhet,1996,3250000,800000,4050000,5105,HusmanHagberg,463.5680255366515,Gubbangen
202016-01-21,Bordsvägen 33A,Gubbangen,GronHagsatra,2,54,3,Lägenhet,1947,2150000,310000,2460000,3660,ERA,215.36130334727267,Gubbangen
202016-01-21,Karmstolsvägen 9,Gubbangen,GronHagsatra,2,64,null,Lägenhet,1947,1995000,625000,2620000,4167,Länsförsäkringar Fastighetsförmedling,220.27223577359806,Gubbangen
202016-01-21,Majrovägen 27,Gubbangen,GronHagsatra,3,69,1,Lägenhet,1997,2850000,-50000,2800000,5124,Notar,317.6104751145561,Gubbangen
202016-01-20,Skåpvägen 13,Gubbangen,GronHagsatra,2,54,1,Lägenhet,1946,2195000,205000,2400000,2816,Bjurfors,201.4196042658475,Gubbangen
202016-01-14,Getfotsvägen 11,Gubbangen,GronHagsatra,5,121.5,4,Lägenhet,2008,4500000,1250000,5750000,5944,SkandiaMäklarna,375.6074051286519,Gubbangen
202016-01-14,Getfotsvägen 11,Gubbangen,GronHagsatra,2,63.5,3,Lägenhet,2008,2450000,790000,3240000,3692,Fastighetsbyrån,375.6074051286519,Gubbangen
202015-12-16,Bordsvägen 43,Gubbangen,GronHagsatra,4,78,1,Lägenhet,1946,3550000,250000,3800000,4327,ERA,201.04668200906698,Gubbangen
202015-12-12,Majrovägen 33,Gubbangen,GronHagsatra,2,49.5,1,Lägenhet,1996,2150000,500000,2650000,3312,ERA,381.40930279825955,Gubbangen
202015-12-11,Lingvägen 103,Gubbangen,GronHagsatra,3,75,3,Lägenhet,1951,2895000,605000,3500000,3331,Mäklarringen,141.8524587717747,Gubbangen
202015-12-03,Kryddgränd 6,Gubbangen,GronHagsatra,3,72,3,Lägenhet,1985,1995000,85000,2080000,5212,SkandiaMäklarna,474.48525722183007,Gubbangen
202015-11-26,Getfotsvägen 3,Gubbangen,GronHagsatra,2,52,3,Lägenhet,1952,2095000,475000,2570000,3097,Hemverket,298.7560805736578,Gubbangen
202015-11-21,Kryddgränd 4,Gubbangen,GronHagsatra,2,61,3,Lägenhet,1985,1995000,265000,2260000,3713,SkandiaMäklarna,542.6042547000668,Gubbangen
