date,address,subArea,area,room,sqm,floor,objectType,constructionYear,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-06-15,Götaforsvägen 22,Stureby,GronHagsatra,3,67,3,Lägenhet,null,2100000,1125000,3225000,3841,Mäklarhuset,372.7641293694795,Bandhagen
2016-06-10,Sågverksgatan 96,Stureby,GronHagsatra,1,20,2,Lägenhet,1946,1495000,290000,1785000,1467,Länsförsäkringar Fastighetsförmedling,874.9253256537056,Stureby
2016-06-09,Korsnäsvägen 6,Stureby,GronHagsatra,7,204,null,Villa,1959,8950000,1450000,10400000,null,Mäklarhuset,554.3430086585913,Stureby
2016-06-07,Tussmötevägen 188,Stureby,GronHagsatra,2,50,1,Lägenhet,1929,3150000,-605000,2545000,3105,Bjurfors,196.33426385287882,Svedmyra
2016-05-31,Skönviksvägen 271,Stureby,GronHagsatra,3,70,3,Lägenhet,1952,2950000,175000,3125000,3972,SkandiaMäklarna,344.78509192216313,Stureby
2016-05-30,Bäckaskiftsvägen 29,Stureby,GronHagsatra,3,69,3,Lägenhet,1951,3000000,250000,3250000,3439,Notar,343.9126874761037,Stureby
2016-05-29,Husumsgränd 34,Stureby,GronHagsatra,6,97,null,Radhus,1951,5400000,860000,6260000,null,HusmanHagberg,956.5672178379572,Stureby
2016-05-27,Skönviksvägen 293,Stureby,GronHagsatra,2,57,3,Lägenhet,null,1995000,415000,2410000,3382,Mäklarhuset,225.04865871031927,Bandhagen
2016-05-27,Graningegränd 12,Stureby,GronHagsatra,8,150,null,Villa,1924,7750000,2050000,9800000,null,Länsförsäkringar Fastighetsförmedling,593.9078500813318,Stureby
2016-05-27,Sågverksgatan 108,Stureby,GronHagsatra,2,46,2,Lägenhet,1946,1995000,310000,2305000,3213,Notar,950.1687141219791,Stureby
2016-05-26,Skönviksvägen 230,Stureby,GronHagsatra,6,130,null,Villa,1926,8450000,-250000,8200000,null,SkandiaMäklarna,248.88027385479683,Stureby
2016-05-25,Bandhagsvägen 22,Stureby,GronHagsatra,6,145,null,Villa,1946,7500000,25000,7525000,null,Fastighetsbyrån,508.29785068356205,Stureby
2016-05-25,Bastuhagsvägen 49,Stureby,GronHagsatra,1,29,1,Lägenhet,2014,1695000,435000,2130000,1985,Länsförsäkringar Fastighetsförmedling,498.2501635532705,Stureby
2016-05-24,Sågverksgatan 85,Stureby,GronHagsatra,2,54,1,Lägenhet,1946,1995000,265000,2260000,3512,Länsförsäkringar Fastighetsförmedling,839.3818189305431,Stureby
2016-05-23,Bäckaskiftsvägen 48,Stureby,GronHagsatra,2,57,3,Lägenhet,1953,2495000,355000,2850000,2727,Södermäklarna,341.01360962219155,Bandhagen
2016-05-18,Bastuhagsvägen 57,Stureby,GronHagsatra,2,47,3,Lägenhet,null,1995000,755000,2750000,2935,Mäklarhuset,528.9894902120514,Stureby
2016-05-14,Skutskärsvägen 41B,Stureby,GronHagsatra,4,109,null,Parhus,2016,6000000,400000,6400000,3396,Balders Ädelmarks,361.75642375051956,Svedmyra
2016-05-13,Sågverksgatan 104,Stureby,GronHagsatra,2,46,3,Lägenhet,null,1995000,305000,2300000,3283,Svenska Mäklarhuset,913.3693496192908,Stureby
2016-05-11,Bäckaskiftsvägen 52,Stureby,GronHagsatra,2,57,3,Lägenhet,null,2350000,370000,2720000,2727,Svenska Mäklarhuset,313.77153187575,Bandhagen
2016-05-11,Bäckaskiftsvägen 15,Stureby,GronHagsatra,3,76,5,Lägenhet,1951,3000000,300000,3300000,3751,Notar,305.0117541932716,Stureby
2016-05-06,Graningegränd 9,Stureby,GronHagsatra,4,74,null,Villa,1940,5995000,505000,6500000,null,Magnusson Mäkleri,536.3774676762848,Stureby
