AreaCode;subArea;Area
874648;EnskedeGard;GronHagsatra
1454;GamlaEnskede;GronHagsatra
4175;Gubbangen;GronHagsatra
221;Stureby;GronHagsatra
21723;Svedmyra;GronHagsatra
787;Bandhagen;GronHagsatra
2115;Hogdalen;GronHagsatra
6553;Ragsved;GronHagsatra
30;Hagerstensasen;RodFruangen
1381;Fruangen;RodFruangen
874654;Liljeholmen;RodFruangen
874697;Midsommarkransen;RodFruangen
1425;Vastertorp;RodFruangen
874661;Aspudden;RodNorsborg
874646;Grondal;RodNorsborg
318143;Malarhojden;RodNorsborg
14232;Fittja;RodNorsborg
1774;Varby;RodNorsborg
2640;Satra;RodNorsborg
1276;Varberg;RodNorsborg
2675;Bredang;RodNorsborg
1140;Segeltorp;RodNorsborg
874652;Hammarbyhojden;GronSkarpnack
8521;Karrtorp;GronSkarpnack
874650;Bagarmossen;GronSkarpnack
2474;Skarpnack;GronSkarpnack
7197;Katarina;Sodermalm
4796;Sofia;Sodermalm
8069;Maria;Sodermalm
845555;Hornstull;Sodermalm
300476;Zinkensdamm;Sodermalm
874680;Tullgarden;Sodermalm
351791;helgalunden;Sodermalm
115342;Reimersholme;Sodermalm
931427;VastraKungsholmen;Kungsholmen
3598;Fredhall;Kungsholmen
116807;Marieberg;Kungsholmen
826197;FramreKungsholmen;Kungsholmen
115349;Vasastan;City
115350;Norrmalm;City
115348;Ostermalm;City
874660;Traneberg;GronHasselby
874659;Alvik;GronHasselby
72510;Appelviken;GronHasselby
74934;StoraMossen;GronHasselby
874656;Riksby;GronHasselby
867414;Abrahamsberg;GronHasselby
27567;Akeslund;GronHasselby
172444;Akeshov;GronHasselby
75722;Olovslund;GronHasselby
122122;SodraAngby;GronHasselby
14698;NorraAngby;,GronHasselby
10927;Blackeberg;GronHasselby
393540;Vallingby;GronHasselby
753;Hagalund;BlaSolna
7568;CentralaSolna;BlaSolna
9555;Jarvastaden;BlaSolna
891944;Hallonbergen;BlaSolna
4790;Ursvik;BlaSolna
393539;Kista;BlaSolna
380138;Rasunda;BlaSolna
39;Huvudsta;BlaSundbyberg
7300;SundbybergCentrum;BlaSundbyberg
9955;Mariehall;BlaSundbyberg
1227;Duvbo;BlaSundbyberg
384576;Tulemarken;BlaSundbyberg
