Station;linje;lat;long
Blasut;Gron;59.2902433;18.09106309999993
Gubbangen;Gron;59.2634681;18.082088
Gullmarsplan;Gron;59.2990447;18.080944899999963
Hakarangen;Gron;59.2634681;18.082088
Medborgarplatsen;Gron;59.3137797;18.073812999999973
Sandsborg;Gron;59.2847872;18.09238210000001
Skanstull;Gron;59.3078304;18.075769100000002
Skogskyrkogarden;Gron;59.27919180000001;18.09549889999994
Skarmarbrink;Gron;59.2953638;18.090440899999976
Slussen;Gron;59.31951240000001;18.07214060000001
Tallkrogen;Gron;59.2711356;18.085326699999996
Enskede gard;Gron;59.2893938;18.070293900000024
Globen (tidigare Isstadion och Slakthuset);Gron;59.2942798;18.07797419999997
Sockenplan;Gron;59.28330020000001;18.0705911
Stureby;Gron;59.27459769999999;18.055626200000006
Svedmyra;Gron;59.27763840000001;18.067232099999956
Angbyplan;Gron;59.34188520000001;17.907047799999987
Abrahamsberg;Gron;59.33668340000001;17.952952200000027
Alvik;Gron;59.3336355;17.980264600000055
Blackeberg;Gron;59.3483529;17.882797200000027
Brommaplan;Gron;59.33838979999999;17.939261699999975
Fridhemsplan;Gron;59.33219949999999;18.029187800000045
Hatorget (tidigare Kungsgatan);Gron;59.3353344;18.06311400000004
Islandstorget;Gron;59.34585689999999;17.89401959999998
Akeshov;Gron;59.3420363;17.92489980000005
Kristineberg;Gron;59.33281110000001;18.003182000000038
Odenplan;Gron;59.3429601;18.049890900000037
Racksta;Gron;59.3548066;17.881819800000017
Radmansgatan;Gron;59.34032589999999;18.059198299999935
Sankt Eriksplan;Gron;59.3394752;18.037698200000023
Stora mossen;Gron;59.334534;17.96619140000007
Thorildsplan;Gron;59.3314735;18.014882599999964
Vallingby;Gron;59.36324949999999;17.87206309999999
Bandhagen;Gron;59.2704022;18.049490200000037
Hagdalen;Gron;59.2637969;18.043004699999983
Hasselby gard;Gron;59.3669003;17.843769199999997
Johannelund;Gron;59.3679426;17.85746549999999
Gamla stan;Gron;59.3231599;18.067620300000044
T-Centralen;Gron;59.330702;18.0595558
Bagarmossen;Gron;59.27626429999999;18.131464999999935
Bjarkhagen;Gron;59.29111390000001;18.11552119999999
Farsta;Gron;59.243553;18.09328389999996
Hammarbyhajden;Gron;59.29476529999999;18.10455060000004
Hasselby strand;Gron;59.36128660000001;17.83235179999997
Karrtorp;Gron;59.2845051;18.11447670000007
Ragsved;Gron;59.2565804;18.02813489999994
Hagsatra;Gron;59.26272840000001;18.012487400000055
Ornsberg;Rod;59.3055324;17.98919980000005
Aspudden;Rod;59.306416;18.001155799999992
Fruangen;Rod;59.285929;17.96500579999997
Hornstull;Rod;59.3158365;18.03402140000003
Hagerstensasen;Rod;59.2955713;17.979151900000033
Liljeholmen;Rod;59.3107063;18.023130100000003
Mariatorget;Rod;59.3169863;18.06324840000002
Midsommarkransen;Rod;59.301852;18.012036099999932
Telefonplan;Rod;59.29832139999999;17.997235199999977
Vastertorp;Rod;59.291379;17.96666749999997
Zinkensdamm;Rod;59.3177777;18.050152199999957
Ostermalmstorg;Rod;59.3349729;18.074082699999963
Axelsberg;Rod;59.3044155;17.975431500000013
Bredang;Rod;59.29483829999999;17.933813600000008
Malarhajden;Rod;59.3009181;17.957281999999964
Satra;Rod;59.28498399999999;17.921370000000024
Gardet;Rod;59.34774410000001;18.10186909999993
Karlaplan;Rod;59.33848889999999;18.090265899999963
Ropsten;Rod;59.3572983;18.102217900000028
Skarholmen;Rod;59.27714400000001;17.907005099999992
Varberg;Rod;59.2759332;17.89015770000003
Farsta strand;Gron;59.23500769999999;18.10173689999999
Fittja;Rod;59.24746560000001;17.86096759999998
Masmo;Rod;59.2496816;17.880332599999974
Varby gard;Rod;59.2646124;17.88439740000001
Stadion;Rod;59.3429669;18.081700700000056
Tekniska hagskolan;Rod;59.3459088;18.071596399999976
Alby;Rod;59.2394955;17.84532809999996
Fridhemsplan;Bla;59.33219949999999;18.029187800000045
Hallonbergen;Bla;59.3778945;17.96847409999998
Hallunda;Rod;59.2432692;17.82560699999999
Hjulsta;Bla;59.3961702;17.887712100000044
Norsborg;Rod;59.24379089999999;17.814525199999935
Nackrosen;Bla;59.3667379;17.983279700000026
Rinkeby;Bla;59.3881634;17.928781399999934
Radhuset;Bla;59.33033229999999;18.042047700000012
Solna centrum;Bla;59.3588602;17.998973699999965
Stadshagen;Bla;59.3369631;18.017318299999943
Tensta;Bla;59.3944823;17.901165200000037
Universitetet;Rod;59.3651918;18.054604400000017
Vastra skogen;Bla;59.3474793;18.003989100000013
Akalla;Bla;59.41481289999999;17.912797400000045
Husby;Bla;59.410259;17.925637199999983
Kista;Bla;59.4031774;17.942394400000012
Kungstradgarden;Bla;59.33078399999999;18.073293799999988
Bergshamra;Rod;59.3817007;18.036722499999996
Danderyds sjukhus;Rod;59.3919041;18.04137179999998
Marby centrum;Rod;59.3982573;18.036117500000046
Duvbo;Bla;59.3678923;17.96461750000003
Huvudsta;Bla;59.3495465;17.98569539999994
Rissne;Bla;59.37584080000001;17.939959300000055
Solna strand (tidigare Vreten);Bla;59.35434249999999;17.97354169999994
Sundbybergs centrum;Bla;59.3621927;17.97127069999999
Skarpnack;Gron;59.2664138;18.13303589999998
